mus_triL_hum_ax.Xma,mus_triL_hum_ax.Yma,mus_triL_hum_ax.Zma,mus_triL_scap_ax.Xma,mus_triL_scap_ax.Yma,mus_triL_scap_ax.Zma
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
1.401934169,0.8831131067,-1.579131324,1.161866964,1.863366044,-0.1269923462
1.407021089,0.8846487802,-1.571456828,1.178409904,1.85395801,-0.1178700879
1.411283475,0.8860593137,-1.565273383,1.192755546,1.845682512,-0.1099238124
1.414519036,0.887358492,-1.56073469,1.204074491,1.83913667,-0.1036491263
1.416788541,0.8885656247,-1.557576574,1.212267824,1.83447046,-0.09912902772
1.418420013,0.889715864,-1.555271511,1.217995327,1.831339658,-0.09600917331
1.420017738,0.8908949925,-1.553114877,1.222604294,1.828940027,-0.09353502209
1.422462556,0.8922857244,-1.550198864,1.227983385,1.826095907,-0.0906342105
1.426851699,0.8941987187,-1.545347323,1.236308615,1.821397797,-0.08605453443
1.434314365,0.8970471137,-1.537135137,1.249642038,1.813400521,-0.07857597066
1.445698441,0.901237671,-1.524083654,1.269414613,1.800873097,-0.0672826307
1.461230524,0.9070001469,-1.505011548,1.295953413,1.783067036,-0.05182308034
1.480336457,0.9142360786,-1.479412053,1.328281503,1.759928016,-0.03255046426
1.501758892,0.9224841998,-1.447681531,1.364340093,1.732169863,-0.01046118974
1.523938803,0.9310415045,-1.41109149,1.401562741,1.701153547,0.01305962111
1.5454569,0.9391814931,-1.371516169,1.437544097,1.66858583,0.03658247656
1.565319016,0.9463616789,-1.331030072,1.470522737,1.6361416,0.05893130859
1.583011507,0.9523311427,-1.291512678,1.499551053,1.605150767,0.07934307466
1.598397011,0.9571186418,-1.254380713,1.52439278,1.576454302,0.09747254379
1.61156682,0.9609390385,-1.22051708,1.545271225,1.550460035,0.1132802294
1.622720047,0.9640781507,-1.190393123,1.562588119,1.527337158,0.1268666263
1.632087169,0.9667965193,-1.164303685,1.576704356,1.507237128,0.1383223356
1.639881394,0.9692716053,-1.142586034,1.587835572,1.490424217,0.1476486181
1.646261043,0.971577336,-1.125715392,1.596065343,1.477260187,0.1547669915
1.651290073,0.9736909643,-1.114226787,1.60143723,1.468065125,0.1595966597
1.654909711,0.9755137792,-1.108485672,1.604077435,1.462924829,0.1621592104
1.65695752,0.9768945925,-1.108390026,1.604306741,1.461528377,0.1626707027
1.657268678,0.9776617834,-1.113137934,1.60270953,1.463100995,0.161587956
1.655848118,0.9776766403,-1.121196437,1.600118904,1.466474897,0.1595813755
1.653034765,0.9769099927,-1.130531857,1.597492992,1.470292608,0.1574264304
1.649549253,0.9755123495,-1.139022217,1.595716487,1.473269222,0.1558487583
1.646382948,0.9738342764,-1.144862405,1.595420849,1.474404536,0.1553915783
1.644568604,0.9723665161,-1.146792303,1.59690812,1.473070003,0.1563603505
1.644936717,0.9716119738,-1.144114304,1.600187244,1.46897813,0.1588458944
1.647941459,0.9719346675,-1.136589513,1.605066104,1.462104809,0.162782785
1.653589346,0.9734447522,-1.124319544,1.611236817,1.452621041,0.1680025953
1.66146585,0.9759643398,-1.107653064,1.618340484,1.440846021,0.1742723191
1.670831903,0.9790870444,-1.087100597,1.626023993,1.427201807,0.1813300146
1.68076714,0.9823068387,-1.063251934,1.633999592,1.412154628,0.1889249194
1.69033721,0.9851643225,-1.036726327,1.642091723,1.396150916,0.1968548826
1.698766281,0.9873585866,-1.008200894,1.650258027,1.379567602,0.2049892035
1.705581292,0.9887919715,-0.9785204515,1.658572124,1.362689305,0.2132691442
1.710685283,0.9895486812,-0.9488257172,1.667173672,1.345722682,0.2216847121
1.714324905,0.9898326571,-0.9205971063,1.676190182,1.328847217,0.2302296753
1.716952537,0.9898958063,-0.8955327271,1.685646002,1.312295095,0.2388424962
1.719036293,0.9899784381,-0.875260841,1.695384493,1.296431885,0.2473528141
1.720898561,0.9902662923,-0.8609817464,1.705043608,1.281789535,0.2554617692
1.722656439,0.9908642647,-0.8531780391,1.714116433,1.269005394,0.262783683
1.724286296,0.9917896925,-0.8514975334,1.722102287,1.258643661,0.2689574666
1.725764072,0.9929952604,-0.854832274,1.728711505,1.250933626,0.2738037573
1.72719306,0.9944186796,-0.8615304039,1.734043914,1.245527004,0.2774662454
1.728845308,0.9960352543,-0.8696460293,1.738649649,1.241417393,0.2804592771
1.731101089,0.9978820064,-0.8771702978,1.743407708,1.237121133,0.2835666767
1.734332991,1.000037949,-0.882252839,1.749233304,1.231094757,0.2876043332
1.738796905,1.002574219,-0.8834340744,1.75673018,1.22222409,0.2931395821
1.744571306,1.005505292,-0.8798443188,1.7659604,1.210164775,0.3003006076
1.751560043,1.008772452,-0.8712903965,1.776452042,1.195380543,0.3087678017
1.759553316,1.012272289,-0.8581902297,1.78742586,1.178882781,0.3179386167
1.768316953,1.015914649,-0.8413840542,1.798101083,1.161811693,0.3271708203
1.777672395,1.019676075,-0.8218702192,1.807938227,1.145034297,0.3359964926
1.787529495,1.02361581,-0.8005108034,1.816762686,1.128873679,0.3442513014
1.797864738,1.027844461,-0.7777651002,1.824787334,1.112990546,0.3521190582
1.808665496,1.032461416,-0.7535369061,1.832564243,1.096411646,0.360104635
1.819875149,1.037488946,-0.7272229627,1.840862365,1.077718085,0.368930608
1.831369912,1.042833215,-0.6979944575,1.850459679,1.055405168,0.3793491063
1.84297143,1.048290706,-0.6652283641,1.861877911,1.028360343,0.3918959006
1.854478698,1.053599098,-0.6288963384,1.875160319,0.9963148575,0.406669091
1.865691238,1.058507778,-0.5897130096,1.889811828,0.9600786375,0.4232350535
1.876413211,1.062839491,-0.5489863133,1.904950618,0.9214350967,0.4407175276
1.886448734,1.066523715,-0.5082973042,1.919588413,0.8827225932,0.4580314384
1.895615972,1.069600333,-0.4691956922,1.932897864,0.8462676257,0.4741559806
1.903781005,1.072197044,-0.4330099294,1.94436422,0.8138774001,0.4883467005
1.910885509,1.074482592,-0.400754364,1.953807282,0.7865502955,0.5002318112
1.916943112,1.0766051,-0.3730849267,1.961313097,0.7644740705,0.5097867629
1.922012071,1.078636395,-0.3502872468,1.967119822,0.7472719241,0.5172162372
1.926170591,1.080545611,-0.3323130689,1.971501493,0.7343625282,0.5228008238
1.929508294,1.082210648,-0.3188839662,1.974681264,0.7252797394,0.5267666481
1.932122582,1.083464467,-0.3096658482,1.976784217,0.7198647401,0.5292094804
1.934111205,1.084164116,-0.3044950311,1.977824583,0.7183292991,0.5300701935
1.935546831,1.084263977,-0.3036112108,1.977702067,0.7212371037,0.5291394448
1.936422469,1.083868146,-0.3078248056,1.976187991,0.7294391598,0.5260718565
1.936554547,1.083229255,-0.3185254238,1.972899468,0.7439652602,0.520409311
1.935473534,1.082661565,-0.3374427992,1.967290265,0.7658371255,0.5116343495
1.932376371,1.082353587,-0.3661282366,1.958699048,0.79576749,0.4992798774
1.92623046,1.082125744,-0.4052539051,1.946483166,0.8337844692,0.4830941895
1.916063414,1.081264976,-0.453999466,1.930215525,0.8789391311,0.4632041338
1.901354291,1.078612647,-0.5098883471,1.909853634,0.9293439179,0.4401678082
1.882320364,1.072976453,-0.5692848892,1.88574867,0.9826705042,0.4148262294
1.85989711,1.0636982,-0.6283542167,1.858427883,1.036913431,0.3879888472
1.835414734,1.051041136,-0.6839315944,1.828273642,1.090954212,0.3601406085
1.810205112,1.036152252,-0.7338085493,1.795357106,1.144547344,0.3313830352
1.785389239,1.020646603,-0.7763974381,1.759593289,1.197772428,0.3016598114
1.761891853,1.006080006,-0.8101739942,1.721119252,1.250375409,0.2711001136
1.740541802,0.9935740216,-0.8333994393,1.680603769,1.301459963,0.2402295667
1.722111497,0.9836836579,-0.8443865166,1.639232207,1.349697728,0.209900851
1.707252296,0.9764427311,-0.8421852777,1.598354971,1.39385718,0.1809995581
1.696384679,0.9714834604,-0.8272675756,1.559031745,1.4332856,0.1541253376
1.689627713,0.9681914101,-0.8017854634,1.52175872,1.468088566,0.1294337861
1.68681668,0.9659062685,-0.7692506635,1.486490546,1.498984459,0.1066893687
1.687604266,0.9641525704,-0.7337910543,1.45287544,1.526963094,0.08545777174
1.691588992,0.9628219496,-0.6992508203,1.42056247,1.55291053,0.06533676296
1.698405584,0.9622005946,-0.6683432968,1.389497433,1.577321593,0.04615532488
1.707742239,0.9628020422,-0.6420205795,1.360155072,1.60018466,0.02809667236
1.719301879,0.9650825957,-0.6192541676,1.333626896,1.621055776,0.01170890242
1.732757973,0.9691834915,-0.5973900614,1.311475751,1.639267661,-0.002213470741
1.747737905,0.9748136192,-0.5730404368,1.295347359,1.654165605,-0.01284860335
